ID_COMUNE,DATA_TYPE,RESULTS,TIME_PERIOD,OBS_VALUE,CODICE PROVINCIA,COMUNE,RESIDENTI,SUPERFICIE (KMQ)
1021,morti_e_feriti,morti,2022,1,201,Barbania,1585,12.8027
1021,morti_e_feriti,morti,2023,0,201,Barbania,1585,12.8027
1021,incidenti_stradali,incidenti,2020,0,201,Barbania,1585,12.8027
1021,incidenti_stradali,incidenti,2021,1,201,Barbania,1585,12.8027
1021,incidenti_stradali,incidenti,2022,2,201,Barbania,1585,12.8027
1021,incidenti_stradali,incidenti,2023,1,201,Barbania,1585,12.8027
1022,morti_e_feriti,feriti,2020,4,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,feriti,2021,5,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,feriti,2022,3,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,feriti,2023,8,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,feriti,2024,7,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,morti,2020,0,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,morti,2021,0,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,morti,2022,0,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,morti,2023,0,201,Bardonecchia,3078,132.203
1022,morti_e_feriti,morti,2024,0,201,Bardonecchia,3078,132.203
1022,incidenti_stradali,incidenti,2020,3,201,Bardonecchia,3078,132.203
1022,incidenti_stradali,incidenti,2021,4,201,Bardonecchia,3078,132.203
1022,incidenti_stradali,incidenti,2022,2,201,Bardonecchia,3078,132.203
1022,incidenti_stradali,incidenti,2023,6,201,Bardonecchia,3078,132.203
1022,incidenti_stradali,incidenti,2024,7,201,Bardonecchia,3078,132.203
1023,morti_e_feriti,feriti,2020,0,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,feriti,2021,0,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,feriti,2022,0,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,feriti,2023,1,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,morti,2020,0,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,morti,2021,0,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,morti,2022,0,201,Barone Canavese,559,3.9864
1023,morti_e_feriti,morti,2023,1,201,Barone Canavese,559,3.9864
1023,incidenti_stradali,incidenti,2020,0,201,Barone Canavese,559,3.9864
1023,incidenti_stradali,incidenti,2021,0,201,Barone Canavese,559,3.9864
1023,incidenti_stradali,incidenti,2022,0,201,Barone Canavese,559,3.9864
1023,incidenti_stradali,incidenti,2023,1,201,Barone Canavese,559,3.9864
1024,morti_e_feriti,feriti,2020,32,201,Beinasco,17532,6.7343
1024,morti_e_feriti,feriti,2021,38,201,Beinasco,17532,6.7343
1024,morti_e_feriti,feriti,2022,43,201,Beinasco,17532,6.7343
1024,morti_e_feriti,feriti,2023,22,201,Beinasco,17532,6.7343
1024,morti_e_feriti,feriti,2024,40,201,Beinasco,17532,6.7343
1024,morti_e_feriti,morti,2020,0,201,Beinasco,17532,6.7343
1024,morti_e_feriti,morti,2021,1,201,Beinasco,17532,6.7343
1024,morti_e_feriti,morti,2022,0,201,Beinasco,17532,6.7343
1024,morti_e_feriti,morti,2023,0,201,Beinasco,17532,6.7343
1024,morti_e_feriti,morti,2024,0,201,Beinasco,17532,6.7343
1024,incidenti_stradali,incidenti,2020,22,201,Beinasco,17532,6.7343
1024,incidenti_stradali,incidenti,2021,29,201,Beinasco,17532,6.7343
1024,incidenti_stradali,incidenti,2022,31,201,Beinasco,17532,6.7343
1024,incidenti_stradali,incidenti,2023,21,201,Beinasco,17532,6.7343
1024,incidenti_stradali,incidenti,2024,33,201,Beinasco,17532,6.7343
1025,morti_e_feriti,feriti,2020,0,201,Bibiana,3392,18.5979
1025,morti_e_feriti,feriti,2021,4,201,Bibiana,3392,18.5979
1025,morti_e_feriti,feriti,2022,6,201,Bibiana,3392,18.5979
1025,morti_e_feriti,feriti,2023,3,201,Bibiana,3392,18.5979
1025,morti_e_feriti,feriti,2024,2,201,Bibiana,3392,18.5979
1025,morti_e_feriti,morti,2020,0,201,Bibiana,3392,18.5979
1025,morti_e_feriti,morti,2021,0,201,Bibiana,3392,18.5979
1025,morti_e_feriti,morti,2022,0,201,Bibiana,3392,18.5979
1025,morti_e_feriti,morti,2023,0,201,Bibiana,3392,18.5979
1025,morti_e_feriti,morti,2024,0,201,Bibiana,3392,18.5979
1025,incidenti_stradali,incidenti,2020,0,201,Bibiana,3392,18.5979
1025,incidenti_stradali,incidenti,2021,4,201,Bibiana,3392,18.5979
1025,incidenti_stradali,incidenti,2022,2,201,Bibiana,3392,18.5979
1025,incidenti_stradali,incidenti,2023,2,201,Bibiana,3392,18.5979
1025,incidenti_stradali,incidenti,2024,1,201,Bibiana,3392,18.5979
1026,morti_e_feriti,feriti,2020,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,feriti,2021,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,feriti,2022,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,feriti,2023,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,morti,2020,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,morti,2021,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,morti,2022,0,201,Bobbio Pellice,537,94.0819
1026,morti_e_feriti,morti,2023,0,201,Bobbio Pellice,537,94.0819
1026,incidenti_stradali,incidenti,2020,0,201,Bobbio Pellice,537,94.0819
1026,incidenti_stradali,incidenti,2021,0,201,Bobbio Pellice,537,94.0819
1026,incidenti_stradali,incidenti,2022,0,201,Bobbio Pellice,537,94.0819
1026,incidenti_stradali,incidenti,2023,0,201,Bobbio Pellice,537,94.0819
1027,morti_e_feriti,feriti,2020,5,201,Bollengo,2097,14.2234
1027,morti_e_feriti,feriti,2021,10,201,Bollengo,2097,14.2234
